id,company_name,contact_first,contact_last,email,phone,address,website,gbp_url,hours,has_voicemail_after_hours,has_recent_gbp_posts,has_qa_section,pain_score,status,email_sent_date,reply,notes
HVAC-DUB-019,Chris Climate Control,Chris,Rodriguez,info@chrisrodriguez.climatecontrol.com,(602) 573-1018,"1000 Washington St, Dubai, AZ",https://chrisrodriguez.climatecontrol.com,,8AM-5PM M-F,False,False,False,2,NEW,,,
HVAC-DUB-020,Ryan Comfort Solutions,Ryan,Martinez,info@ryanmartinez.comfortsolutions.com,(602) 574-1019,"1050 Jefferson Blvd, Dubai, AZ",https://ryanmartinez.comfortsolutions.com,,7AM-6PM M-Sat,True,False,False,3,NEW,,,
HVAC-DUB-021,Tom Heating & Cooling,Tom,Smith,info@tomsmith.heatingandcooling.com,(602) 575-1020,"1100 Oak St, Dubai, AZ",https://tomsmith.heatingandcooling.com,,8AM-5PM M-F,True,True,True,1,NEW,,,
HVAC-DUB-022,Alex HVAC Services,Alex,Johnson,info@alexjohnson.hvacservices.com,(602) 576-1021,"1150 Pine Ave, Dubai, AZ",https://alexjohnson.hvacservices.com,,7AM-6PM M-Sat,False,False,False,2,NEW,,,
HVAC-DUB-023,Sam Air Conditioning,Sam,Williams,info@samwilliams.acrepair.com,(602) 577-1022,"1200 Cedar Rd, Dubai, AZ",https://samwilliams.acrepair.com,,8AM-5PM M-F,True,False,False,3,NEW,,,
HVAC-DUB-024,Jose Climate Control,Jose,Brown,info@josebrown.climatecontrol.com,(602) 578-1023,"1250 Maple Dr, Dubai, AZ",https://josebrown.climatecontrol.com,,7AM-6PM M-Sat,True,False,False,3,NEW,,,
HVAC-DUB-025,Carlos Comfort Solutions,Carlos,Jones,info@carlosjones.comfortsolutions.com,(602) 579-1024,"1300 Main St, Dubai, AZ",https://carlosjones.comfortsolutions.com,,8AM-5PM M-F,False,True,False,1,NEW,,,
HVAC-DUB-026,Robert Heating & Cooling,Robert,Garcia,info@robertgarcia.heatingandcooling.com,(602) 580-1025,"1350 1st Ave, Dubai, AZ",https://robertgarcia.heatingandcooling.com,,7AM-6PM M-Sat,True,False,True,2,NEW,,,
HVAC-DUB-027,Bill HVAC Services,Bill,Miller,info@billmiller.hvacservices.com,(602) 581-1026,"1400 Washington St, Dubai, AZ",https://billmiller.hvacservices.com,,8AM-5PM M-F,True,False,False,3,NEW,,,
HVAC-DUB-028,Dan Air Conditioning,Dan,Davis,info@dandavis.acrepair.com,(602) 582-1027,"1450 Jefferson Blvd, Dubai, AZ",https://dandavis.acrepair.com,,7AM-6PM M-Sat,False,False,False,2,NEW,,,
HVAC-DUB-029,Steve Climate Control,Steve,Rodriguez,info@steverodriguez.climatecontrol.com,(602) 583-1028,"1500 Oak St, Dubai, AZ",https://steverodriguez.climatecontrol.com,,8AM-5PM M-F,True,True,False,2,NEW,,,
HVAC-DUB-030,Joe Comfort Solutions,Joe,Martinez,info@joemartinez.comfortsolutions.com,(602) 584-1029,"1550 Pine Ave, Dubai, AZ",https://joemartinez.comfortsolutions.com,,7AM-6PM M-Sat,True,False,False,3,NEW,,,
